,Column Labels,,,,,,,,,,,,,,
,Average of delivery_rating,,,,Average of Restaurent_cost,,,,Sum of diner_rating,,,,Total Average of delivery_rating,Total Average of Restaurent_cost,Total Sum of diner_rating
Row Labels,BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",,,
GBCL Bakers,3.90,,,,200.00,,,,,,,,3.90,200.00,
Goldy Bake Ways,4.20,,,,500.00,,,,,,,,4.20,500.00,
Sapna Bakery,,,,,200.00,,,,3.1,,,,,200.00,3.1
Setia Cake O Clock,4.10,,,,350.00,,,,,,,,4.10,350.00,
The Cake Corner,4.30,,,,350.00,,,,,,,,4.30,350.00,
Vinod Bakery,4.20,,,,200.00,,,,,,,,4.20,200.00,
Palam,3.53,,4.20,,295.00,,475.00,,7.4,,3.6,,3.68,325.00,11
Cake Lovers,3.50,,,,200.00,,,,,,,,3.50,200.00,
Cake Palace,3.50,,3.90,,400.00,,600.00,,,,3.6,,3.70,500.00,3.6
Dimpu Bakery,,,,,250.00,,,,,,,,,250.00,
Goyal Cakes And Pastries,,,,,200.00,,,,,,,,,200.00,
Jyoti Bakery,,,,,500.00,,,,3.7,,,,,500.00,3.7
Lahore Baker's,3.70,,,,250.00,,,,3.7,,,,3.70,250.00,3.7
Lahore Bakery,3.70,,,,300.00,,,,,,,,3.70,300.00,
Lahore Ice Cream And Cakes,3.40,,,,350.00,,,,,,,,3.40,350.00,
Neha Bakery,3.50,,,,100.00,,,,,,,,3.50,100.00,
New German Bakery,,,4.50,,,,350.00,,,,,,4.50,350.00,
Pastry King,3.40,,,,400.00,,,,,,,,3.40,400.00,
Paschim Vihar,3.93,,4.02,,243.75,,408.33,,,,11.7,,3.98,314.29,11.7
Bake Hub,,,4.10,,,,500.00,,,,,,4.10,500.00,
Cake Amour,,,,,250.00,,,,,,,,,250.00,
Cannoli Royale,,,4.30,,,,500.00,,,,4,,4.30,500.00,4
Chill Point Cakes & More,3.80,,,,250.00,,,,,,,,3.80,250.00,
Fnp Cakes 'n' More,3.70,,,,250.00,,,,,,,,3.70,250.00,
Kumar Baker's,,,3.40,,,,150.00,,,,,,3.40,150.00,
Kumar Cake Shop,3.70,,,,300.00,,,,,,,,3.70,300.00,
Oasis Baklawa,,,4.00,,,,450.00,,,,3.9,,4.00,450.00,3.9
Pastry Point,,,,,200.00,,,,,,,,,200.00,
PK Shoppe,4.00,,,,200.00,,,,,,,,4.00,200.00,
Quality Cake Shop,,,4.40,,,,550.00,,,,,,4.40,550.00,
The Cake Mistri,,,3.90,,,,300.00,,,,3.8,,3.90,300.00,3.8
The Cake Palace,4.20,,,,250.00,,,,,,,,4.20,250.00,
Pitampura,3.93,,3.96,,310.71,,280.00,,2.6,,8.9,,3.94,302.63,11.5
Baker's Stop,4.60,,,,250.00,,,,,,,,4.60,250.00,
Cakes4Celebration,3.10,,,,500.00,,,,,,,,3.10,500.00,
Craft Bakers By BTW,,,,,500.00,,,,,,,,,500.00,
Cupcakia,,,,,500.00,,,,,,,,,500.00,
De Bakery Junction - The Cake Shoppe,,,3.80,,,,200.00,,,,,,3.80,200.00,
Deli Cake Cafe,,,3.90,,,,300.00,,,,5.4,,3.90,300.00,5.4
Hanuman Store,,,,,250.00,,,,,,,,,250.00,
Kwality Bakers,3.90,,,,200.00,,,,,,,,3.90,200.00,
Mehar Chocolates,,,,,300.00,,,,,,,,,300.00,
Mercury Bakers,3.90,,,,200.00,,,,,,,,3.90,200.00,
Partilicious,3.90,,,,250.00,,,,,,,,3.90,250.00,
Premsay Bakers,4.20,,,,350.00,,,,,,,,4.20,350.00,
Puri Bakers,,,4.20,,,,400.00,,,,,,4.20,400.00,
Sapra Biscuits,,,,,300.00,,,,,,,,,300.00,
SFB Bakery,,,,,100.00,,,,2.6,,,,,100.00,2.6
Sharma Bakers,4.10,,,,350.00,,,,,,,,4.10,350.00,
Singh Bakers,,,4.00,,,,200.00,,,,3.5,,4.00,200.00,3.5
The Cake Bros,3.70,,,,300.00,,,,,,,,3.70,300.00,
Rohini,3.90,,4.01,,276.19,,325.00,,20.6,,13.8,,3.94,293.94,34.4
Apsara Bakers,3.70,,,,200.00,,,,,,,,3.70,200.00,
Bablu Best Bakers,4.00,,,,150.00,,,,,,,,4.00,150.00,
Bakery Wala - The Cake Shop,,,4.10,,,,350.00,,,,7.6,,4.10,350.00,7.6
Bansal Bakers,3.30,,,,250.00,,,,,,,,3.30,250.00,
Cake Chef,,,,,300.00,,,,,,,,,300.00,
Cake Hubs,,,3.90,,,,600.00,,,,3.3,,3.90,600.00,3.3
Cake O Clock,,,3.40,,,,400.00,,,,,,3.40,400.00,
Cake Point,,,,,250.00,,,,3.1,,,,,250.00,3.1
Cake Studio,4.10,,,,350.00,,,,3.5,,,,4.10,350.00,3.5
Cake Valley,3.90,,,,200.00,,,,3.4,,,,3.90,200.00,3.4
Demould,4.20,,,,400.00,,,,,,,,4.20,400.00,
Elmontes,,,4.60,,,,300.00,,,,,,4.60,300.00,
Flower Garden,,,,,200.00,,,,,,,,,200.00,
Galaxy Bakers Cake & Pastry Shop,3.90,,,,500.00,,,,,,,,3.90,500.00,
Garg Bakers,3.90,,,,200.00,,,,,,,,3.90,200.00,
Garhwal Bakers,,,,,300.00,,,,,,,,,300.00,
Garhwal Bakery,3.90,,,,216.67,,300.00,,,,,,3.90,237.50,
Gaurav Pastry Palace,,,,,200.00,,,,4.2,,,,,200.00,4.2
Goyal Bakers,,,,,300.00,,,,2.3,,,,,300.00,2.3
Goyal Bakers And Confectioners,,,,,,,200.00,,,,,,,200.00,
Healthy Treats,3.90,,,,300.00,,,,,,,,3.90,300.00,
Kanha Bakery Fast Food Corner,,,,,,,150.00,,,,,,,150.00,
Le Meilleur Chocolates,,,,,,,400.00,,,,,,,400.00,
Malika Bakers Pastry Shop,,,,,,,150.00,,,,2.9,,,150.00,2.9
Max Bakers,,,4.00,,,,200.00,,,,,,4.00,200.00,
Pavitra Bakers,4.10,,,,450.00,,,,,,,,4.10,450.00,
Quality Bakers,,,4.00,,,,500.00,,,,,,4.00,500.00,
Sana Cakes & Bakes,3.90,,,,250.00,,,,,,,,3.90,250.00,
The Cake Cafe,3.90,,,,350.00,,,,4.1,,,,3.90,350.00,4.1
Shahdara,3.80,3.80,4.00,4.40,300.00,250.00,290.00,150.00,12.6,,12.7,,3.86,290.74,25.3
Aggarwal Bakery,3.30,,,,150.00,,,,,,,,3.30,150.00,
AK Pasty Shop,,,,,200.00,,,,3,,,,,200.00,3
Alok Bakers,,,,,300.00,,,,,,,,,300.00,
Amar Bakery,,,,4.40,,,,150.00,,,,,4.40,150.00,
Annapurna,,,,,,,350.00,,,,3.6,,,350.00,3.6
Arora Ji Cake Wale,,,,,150.00,,,,,,,,,150.00,
Arpit Bakery,3.80,,,,300.00,,,,,,,,3.80,300.00,
Big Bite Bakers,,,,,600.00,,,,,,,,,600.00,
Bunny Bakers,,,,,,,200.00,,,,6.2,,,200.00,6.2
Cake Cafe,3.70,,,,300.00,,,,,,,,3.70,300.00,
Chawla Cake Shop,,,,,400.00,,,,,,,,,400.00,
Chocolate Uncle,,,,,300.00,,,,3,,,,,300.00,3
Delhi Cake Wala,3.60,,,,200.00,,,,,,,,3.60,200.00,
Fine Bakery,,,,,300.00,,,,3.1,,,,,300.00,3.1
Goel Bakery,,,,,,,300.00,,,,,,,300.00,
Harish Pastry Shop,,3.80,,,,250.00,,,,,,,3.80,250.00,
Hira Bikaneri Namkeen Corner,,,,,150.00,,,,,,,,,150.00,
Mr. Gold,3.90,,,,500.00,,,,,,,,3.90,500.00,
Rakesh Confectioner,,,,,300.00,,,,3.5,,,,,300.00,3.5
Rapture,,,4.00,,,,400.00,,,,2.9,,4.00,400.00,2.9
Sagar,3.80,,,,300.00,,,,,,,,3.80,300.00,
Sagar The Cake Pride,4.10,,,,400.00,,,,,,,,4.10,400.00,
Shri Krishna Biscuits Outlet,4.10,,,,400.00,,,,,,,,4.10,400.00,
Super Store,4.00,,,,250.00,,,,,,,,4.00,250.00,
The Cake Warehouse,3.90,,,,300.00,,,,,,,,3.90,300.00,
Uttam Nagar,3.68,,4.03,,272.50,,307.14,,11,,3.9,,3.74,281.48,14.9
Arora Cake 24x7,,,,,200.00,,,,,,,,,200.00,
Arora Pastry Palace,4.20,,,,200.00,,,,,,,,4.20,200.00,
Bake House Bakery,,,,,300.00,,,,,,,,,300.00,
Bake N Roast,3.90,,,,300.00,,,,3.7,,,,3.90,300.00,3.7
Bakeshala,4.00,,,,600.00,,,,,,,,4.00,600.00,
Cake & Bake,3.60,,,,150.00,,,,,,,,3.60,150.00,
